Country,Lat,Long,Country Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,56.26392,9.501785,DNK,CO2 emissions (kt),52090,62800,57030,59360,63200,60000,73340,63650,59710,56730,52600,54250,53840.0001525879,59229.9995422363,53729.9995422363,50200.0007629395,58130.0010681152,53409.9998474121,50130.0010681152,47930.0003051758,48119.9989318848,43099.9984741211,38220.0012207031,39959.9990844727,35819.9996948242,33700.0007629395,35319.9996948242,33130.0010681152,33130.0010681152,29700.0007629395
Dominican Republic,18.735693,-70.162651,DOM,CO2 emissions (kt),7860,8230,9620,9520,11140,11840,12730,14500,16620,17790,18670,18980,20879.9991607666,18729.9995422363,17280.0006866455,18690.0005340576,20370.0008392334,20629.9991607666,20579.9999237061,19659.9998474121,20680.0003051758,20909.9998474121,21680.0003051758,21290.0009155273,21450.0007629395,23590.0001525879,24590.0001525879,23549.9992370605,25309.9994659424,27229.9995422363
Algeria,28.033886,1.659626,DZA,CO2 emissions (kt),62940,66430,66840,72220,73610,76440,76120,74430,74650,77510,80050,78650,82400.0015258789,88190.0024414063,89489.9978637695,94190.0024414063,99809.9975585938,102750,107750,112169.998168945,114180.000305176,120790.000915527,134929.992675781,139020.004272461,147740.005493164,156270.004272461,154910.003662109,158339.996337891,165539.993286133,171250
Ecuador,-1.831239,-78.183406,ECU,CO2 emissions (kt),15420,15740,16850,16950,18800,20920,24000,24950,24470,21610,22050,24250,24170.0000762939,24659.9998474121,26180.0003051758,28219.9993133545,30129.9991607666,30639.9993896484,31690.0005340576,34500,37250,37099.9984741211,37090.0001525879,39700.0007629395,41799.9992370605,41520.0004577637,39810.001373291,38549.9992370605,40139.9993896484,39290.0009155273
Egypt,26.820553,30.802498,EGY,CO2 emissions (kt),87750,89370,90900,92660,87900,93720,98940,106060,110980,116540,114610,126700,129440.002441406,133020.004272461,144500,162220.001220703,170750,183399.993896484,189940.002441406,197660.003662109,200309.997558594,205770.004272461,215000,213860.000610352,219119.995117188,226279.998779297,231229.995727539,242229.995727539,247910.003662109,249369.995117188
Eritrea,15.179384,39.782334,ERI,CO2 emissions (kt),N/A,N/A,440,630,730,800,870,830,610,650,640,700,680.000007152557,689.999997615814,680.000007152557,600.000023841858,519.999980926514,509.999990463257,449.999988079071,469.999998807907,500,569.999992847443,620.000004768372,639.999985694885,649.999976158142,649.999976158142,660.000026226044,720.000028610229,850.000023841858,879.999995231628
Spain,40.463667,-3.74922,ESP,CO2 emissions (kt),214950,222100,232370,218080,228450,240570,230110,248600,256220,278300,293310,294790,312750,318660.003662109,335559.997558594,350500,341779.998779297,354679.992675781,324269.989013672,287489.990234375,273250,274399.993896484,269269.989013672,242809.997558594,240960.006713867,256279.998779297,247029.998779297,263450.012207031,257040.008544922,239979.995727539
Estonia,58.595272,25.013607,EST,CO2 emissions (kt),35280,31540,23820,18340,17820,16260,17200,16770,16240,15290,14920,15380,14949.9998092651,16940.0005340576,17020.0004577637,17229.9995422363,15979.9995422363,19979.9995422363,18399.9996185303,15050.0001907349,19000,18170.0000762939,16889.9993896484,19319.9996948242,17940.0005340576,15539.999961853,15989.9997711182,16709.9990844727,15319.9996948242,10180.0003051758
Ethiopia,9.145,40.489673,ETH,CO2 emissions (kt),2310,2330,1520,1940,2260,2570,2870,3060,3230,3180,3560,4400,4570.00017166138,5019.99998092651,5329.99992370605,5050.00019073486,5400.00009536743,5960.00003814697,6489.99977111816,6530.00020980835,6469.99979019165,7539.99996185303,8479.99954223633,10079.9999237061,12340.0001525879,12890.0003433228,14970.0002670288,15819.9996948242,17239.9997711182,18360.0006103516
Finland,61.92411,25.748151,FIN,CO2 emissions (kt),54560,55130,52280,53460,59930,56090,62570,60620,57270,56510,55100,61090,63439.998626709,71709.9990844727,67680.0003051758,55459.9990844727,67019.9966430664,65099.9984741211,56659.9998474121,54180.0003051758,62529.9987792969,55119.9989318848,49409.9998474121,50189.998626709,46159.9998474121,42819.9996948242,45700.0007629395,43020.0004577637,44580.0018310547,40709.9990844727
Fiji,-16.578193,179.414413,FJI,CO2 emissions (kt),690,680,720,700,700,710,770,750,730,750,810,1040,879.999995231628,1049.99995231628,1470.00002861023,1289.99996185303,1379.99999523163,1259.99999046326,970.000028610229,970.000028610229,1159.9999666214,1110.00001430511,1029.99997138977,1129.99999523163,1289.99996185303,1379.99999523163,1519.99998092651,1649.99997615814,1629.99999523163,1629.99999523163
France,46.227638,2.213749,FRA,CO2 emissions (kt),356240,380650,368590,349420,344400,352240,367900,359070,381110,374900,373120,376730,371019.989013672,376709.991455078,377790.008544922,380660.003662109,371549.987792969,362829.986572266,357989.990234375,343730.010986328,347779.998779297,335140.014648438,338420.013427734,338559.997558594,306100.006103516,311299.987792969,313920.013427734,317829.986572266,307049.987792969,300519.989013672
Faroe Islands,61.892635,-6.911806,FRO,CO2 emissions (kt),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Micronesia,7.425554,150.550812,FSM,CO2 emissions (kt),N/A,N/A,110,110,110,120,120,120,130,130,130,150,140.000000596046,159.999996423721,159.999996423721,159.999996423721,140.000000596046,140.000000596046,119.999997317791,129.999995231628,109.999999403954,119.999997317791,129.999995231628,140.000000596046,140.000000596046,150.000005960464,170.000001788139,180.000007152557,170.000001788139,180.000007152557
Gabon,-0.803689,11.609444,GAB,CO2 emissions (kt),4100,4560,4530,4650,4620,5210,5810,5560,6390,6030,6080,6230,5960.00003814697,6440.00005722046,6090.00015258789,6059.99994277954,5440.00005722046,4940.00005722046,5269.99998092651,5199.99980926514,5760.00022888184,5780.00020980835,5599.99990463257,5789.99996185303,5960.00003814697,6119.99988555908,6420.00007629395,5329.99992370605,5119.99988555908,5250
United Kingdom,55.378051,-3.435973,GBR,CO2 emissions (kt),561770,570680,557890,541380,535180,526810,545480,524190,526000,522750,530890,545260,530789.978027344,543039.978027344,543080.017089844,540919.982910156,542059.997558594,530500,515340.026855469,466489.990234375,482440.002441406,445589.996337891,467779.998779297,453760.009765625,415600.006103516,401079.986572266,380809.997558594,367000,360730.010986328,348920.013427734
Georgia,42.315407,43.356892,GEO,CO2 emissions (kt),33490,25510,20070,16090,10440,8180,6360,5520,4990,4520,4770,3520,2960.00003814697,3160.00008583069,3369.99988555908,4239.99977111816,4699.99980926514,5630.00011444092,4840.00015258789,5619.99988555908,5320.00017166138,6519.99998092651,7190.00005722046,7840.00015258789,8470.00026702881,9199.99980926514,9649.99961853027,9729.99954223633,9569.99969482422,10109.9996566772
Ghana,7.946527,-1.023194,GHA,CO2 emissions (kt),2790,2560,3080,3190,3460,3710,4090,4300,6100,6580,5740,6210,7429.99982833862,7139.9998664856,6679.99982833862,7039.99996185303,8510.00022888184,9119.99988555908,8659.99984741211,10010.0002288818,11189.9995803833,11750,14609.9996566772,15630.0001144409,15090.0001525879,15779.9997329712,16069.9996948242,17010.0002288818,18680.0003051758,20040.0009155273
Gibraltar,36.137741,-5.345374,GIB,CO2 emissions (kt),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guinea,9.945587,-9.696645,GIN,CO2 emissions (kt),1000,1020,1050,1080,1120,1160,1230,1290,1360,1430,1490,1570,1629.99999523163,1700.00004768372,1769.99998092651,1830.00004291534,1899.99997615814,1980.00001907349,2009.99999046326,2119.99988555908,2500,2619.99988555908,2480.00001907349,2180.0000667572,2240.00000953674,2539.99996185303,2819.9999332428,3339.99991416931,3750,3950.00004768372
Gambia,13.443182,-15.310139,GMB,CO2 emissions (kt),190,200,200,210,210,220,220,230,240,260,240,310,300.000011920929,300.000011920929,319.999992847443,330.000013113022,360.000014305115,409.999996423721,430.000007152557,490.000009536743,439.999997615814,449.999988079071,460.00000834465,439.999997615814,519.999980926514,529.999971389771,529.999971389771,540.000021457672,550.000011920929,579.999983310699
Guinea-Bissau,11.803749,-15.180413,GNB,CO2 emissions (kt),170,170,180,180,180,180,180,200,170,190,150,150,150.000005960464,189.999997615814,200.000002980232,209.999993443489,219.999998807907,230.000004172325,219.999998807907,230.000004172325,239.999994635582,239.999994635582,250,250,270.000010728836,280.000001192093,310.000002384186,310.000002384186,319.999992847443,330.000013113022
Equatorial Guinea,1.650801,10.267895,GNQ,CO2 emissions (kt),60,70,900,960,1030,1100,1190,1650,1970,3230,2220,3400,4630.00011444092,5010.00022888184,6199.99980926514,8319.99969482422,9369.99988555908,8539.99996185303,9779.99973297119,9710.00003814697,9949.99980926514,9989.99977111816,9819.99969482422,9180.00030517578,7909.99984741211,6570.00017166138,6659.99984741211,5800.00019073486,6429.99982833862,5349.99990463257
Greece,39.074208,21.824312,GRC,CO2 emissions (kt),75620,75820,78180,78090,79730,82830,82750,83760,87130,87400,94460,96610,96599.9984741211,100220.001220703,99839.9963378906,101949.996948242,100699.996948242,104309.997558594,100410.003662109,94739.9978637695,87580.0018310547,84550.0030517578,80089.9963378906,72480.0033569336,69550.0030517578,68010.0021362305,66849.9984741211,66800.0030517578,65019.9966430664,60000
Grenada,12.262776,-61.604171,GRD,CO2 emissions (kt),110,120,170,150,160,170,190,200,220,220,210,230,239.999994635582,250,230.000004172325,250,259.999990463257,280.000001192093,289.99999165535,810.000002384186,289.99999165535,310.000002384186,409.999996423721,319.999992847443,250,270.000010728836,280.000001192093,289.99999165535,319.999992847443,330.000013113022
Greenland,71.706936,-42.604303,GRL,CO2 emissions (kt),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guatemala,15.783471,-90.230759,GTM,CO2 emissions (kt),3930,4030,4830,5110,5430,6350,6190,6550,8290,8200,9420,9810,10470.0002670288,10539.999961853,10750,11529.9997329712,11520.0004577637,12409.9998474121,11239.9997711182,11850.0003814697,11439.9995803833,11739.9997711182,12149.9996185303,13000,13949.9998092651,16340.0001525879,17489.9997711182,16569.9996948242,18319.9996948242,19309.9994659424
Guam,13.444304,144.793731,GUM,CO2 emissions (kt),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guyana,4.860416,-58.93018,GUY,CO2 emissions (kt),1170,1140,1080,1090,1410,1530,1580,1720,1750,1740,1660,1640,1620.00000476837,1620.00000476837,1669.99995708466,1480.00001907349,1330.00004291534,1610.00001430511,1600.00002384186,1629.99999523163,1759.99999046326,1830.00004291534,2000,1980.00001907349,2059.99994277954,2079.99992370605,2480.00001907349,2470.00002861023,2589.99991416931,2849.99990463257
Hong Kong,22.396428,114.109497,HKG,CO2 emissions (kt),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Honduras,15.199999,-86.241905,HND,CO2 emissions (kt),2450,2450,2730,2900,3250,3870,3900,4040,4680,4750,4990,5800,6090.00015258789,6730.00001907349,7559.99994277954,6969.99979019165,7969.99979019165,8539.99996185303,8590.00015258789,8069.99969482422,8180.00030517578,8810.0004196167,9239.99977111816,9369.99988555908,9460.00003814697,9930.00030517578,9470.00026702881,9260.00022888184,10050.0001907349,10220.0002670288
Croatia,45.1,15.2,HRV,CO2 emissions (kt),20340,14740,15040,15540,14870,15460,15260,17070,18530,18520,18040,19200,20280.0006866455,21610.0006103516,21100.0003814697,21450.0007629395,21610.0006103516,22879.9991607666,21729.9995422363,20309.9994659424,19459.9990844727,19030.0006866455,17409.9998474121,17010.0002288818,16239.9997711182,16600.0003814697,16879.9991607666,17409.9998474121,16430.0003051758,16520.0004577637
Haiti,18.971187,-72.285215,HTI,CO2 emissions (kt),1020,1000,900,690,190,900,1060,1270,1310,1380,1470,1600,1830.00004291534,1809.99994277954,1669.99995708466,1700.00004768372,1720.00002861023,2049.99995231628,2029.99997138977,1990.00000953674,2460.00003814697,2700.00004768372,2420.00007629395,2650.00009536743,3019.99998092651,3279.99997138977,3359.99989509583,3329.99992370605,3289.99996185303,3319.9999332428
Hungary,47.162494,19.503304,HUN,CO2 emissions (kt),67420,64550,58000,58380,57780,57430,58450,56990,57350,57910,54630,56280,55599.9984741211,58189.998626709,56349.9984741211,55919.9981689453,55459.9990844727,53849.9984741211,53009.9983215332,47840.0001525879,47880.0010681152,46909.9998474121,43430.0003051758,40759.9983215332,40630.0010681152,43380.0010681152,44250,46439.998626709,46400.0015258789,46380.0010681152
Indonesia,-0.789275,113.921327,IDN,CO2 emissions (kt),148530,162400,171510,185090,199180,223680,236720,261160,262700,279480,280650,302060,305640.014648438,333890.014648438,341239.990234375,342149.993896484,364470.001220703,379959.991455078,376140.014648438,391079.986572266,415519.989013672,475309.997558594,481510.009765625,447940.002441406,483910.003662109,488549.987792969,482510.009765625,517320.007324219,576989.990234375,619840.026855469
Isle of Man,54.236107,-4.548056,IMN,CO2 emissions (kt),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20.593684,78.96288,IND,CO2 emissions (kt),563580,607230,626290,651350,685900,737860,774070,819270,836270,901330,937860,953540,985450.012207031,1011770.01953125,1085670.04394531,1136469.97070313,1215209.9609375,1336739.99023438,1424380.00488281,1564880.00488281,1659979.98046875,1756739.99023438,1909439.94140625,1972430.05371094,2147110.10742188,2158020.01953125,2195250,2320409.91210938,2451929.93164063,2456300.04882813
Ireland,53.41291,-8.24389,IRL,CO2 emissions (kt),30960,31470,31510,31650,32820,33450,34820,35970,38420,39970,42530,44820,43930.0003051758,44090.0001525879,44689.998626709,46650.0015258789,47259.9983215332,46360.0006103516,45779.9987792969,40560.001373291,40189.998626709,36680.0003051758,37130.0010681152,35709.9990844727,35529.9987792969,37060.001373291,38819.9996948242,37779.9987792969,37659.9998474121,35750
Iran,32.427908,53.688046,IRN,CO2 emissions (kt),198470,219100,233650,236730,266690,271520,279810,292400,290990,323360,340450,354070,369869.995117188,389769.989013672,417660.003662109,450790.008544922,484179.992675781,514140.014648438,523049.987792969,542289.978027344,541169.982910156,552049.987792969,559119.995117188,583700.012207031,605349.975585938,599179.992675781,607210.021972656,626419.982910156,637429.992675781,630010.009765625
Iraq,33.223191,43.679291,IRQ,CO2 emissions (kt),64210,45550,67340,89560,102120,100070,98880,118910,91780,72710,87630,97550,91160.0036621094,81279.9987792969,88110.0006103516,85129.997253418,82959.9990844727,76650.0015258789,88139.9993896484,94199.9969482422,108550.003051758,113040.000915527,129000,139100.006103516,134039.993286133,133169.998168945,142229.995727539,155080.001831055,163149.993896484,174559.997558594
Iceland,64.963051,-19.020835,ISL,CO2 emissions (kt),1950,1910,1940,1980,2090,2000,2270,2150,2150,2120,2230,2160,2240.00000953674,2230.00001907349,2319.9999332428,2289.99996185303,2329.99992370605,2380.00011444092,2180.0000667572,2109.99989509583,1960.00003814697,1889.99998569489,1860.00001430511,2029.99997138977,2049.99995231628,2059.99994277954,1629.99999523163,1669.99995708466,1700.00004768372,1639.99998569489
Israel,31.046051,34.851612,ISR,CO2 emissions (kt),33810,34520,36860,40500,43360,46780,48730,50970,51500,52980,57000,57950,61080.0018310547,62930.0003051758,63159.9998474121,61009.9983215332,64330.0018310547,66599.9984741211,66709.9990844727,65730.0033569336,70519.9966430664,69819.9996948242,76059.9975585938,67000,64720.0012207031,66139.9993896484,64980.0033569336,65610.0006103516,61080.0018310547,62650.0015258789
Italy,41.87194,12.56738,ITA,CO2 emissions (kt),405260,404070,402270,396930,392290,416420,412150,415520,426370,433010,436300,436570,443470.001220703,462200.012207031,472399.993896484,473829.986572266,466649.993896484,459369.995117188,444980.010986328,397059.997558594,405269.989013672,396690.002441406,376750,346459.991455078,327500,337859.985351563,333339.996337891,329190.002441406,324880.004882813,317239.990234375
Jamaica,18.109581,-77.297508,JAM,CO2 emissions (kt),7470,7410,8150,8320,8380,8680,9040,9200,9720,9980,10060,10080,10250,10590.0001525879,10569.9996948242,10560.0004196167,12060.0004196167,12020.0004577637,9619.99988555908,7880.00011444092,7480.00001907349,7530.00020980835,6960.00003814697,7400.00009536743,7190.00005722046,7090.00015258789,7570.00017166138,7219.99979019165,8609.99965667725,8390.00034332275
Jordan,30.585164,36.238414,JOR,CO2 emissions (kt),9930,9780,11930,12200,12990,13600,13870,14370,14620,14630,16270,16250,16870.0008392334,17309.9994659424,18579.9999237061,19870.0008392334,20170.0000762939,21090.0001525879,20010.0002288818,20659.9998474121,20200.0007629395,20760.0002288818,24120.0008392334,23799.9992370605,25549.9992370605,25309.9994659424,24819.9996948242,26149.9996185303,24780.0006866455,24629.9991607666
Japan,36.204824,138.252924,JPN,CO2 emissions (kt),1090530,1103980,1115060,1107610,1160780,1171010,1184670,1172630,1130310,1165320,1182610,1170380,1206599.97558594,1214949.95117188,1209849.97558594,1212819.94628906,1189520.01953125,1225069.94628906,1158219.97070313,1100979.98046875,1156479.98046875,1213520.01953125,1253609.98535156,1262780.02929688,1217119.99511719,1179439.94140625,1167790.0390625,1155229.98046875,1116150.02441406,1081569.94628906
Kazakhstan,48.019573,66.923684,KAZ,CO2 emissions (kt),237250,246370,253840,219240,199170,175240,153390,132240,135840,122650,120150,117440,131059.997558594,146139.999389648,158029.998779297,169210.006713867,185300.003051758,198389.999389648,242029.998779297,213610.000610352,229699.996948242,245449.996948242,244600.006103516,260010.009765625,209229.995727539,190729.995727539,202149.993896484,214580.001831055,216600.006103516,212110.000610352
Kenya,-0.023559,37.906193,KEN,CO2 emissions (kt),6140,5890,5950,5860,5870,6370,6970,6640,7160,7490,8320,7610,7420.00007629395,6530.00020980835,7440.00005722046,8319.99969482422,9300.00019073486,9369.99988555908,9909.99984741211,11710.000038147,12640.0003433228,13029.9997329712,12149.9996185303,14100.0003814697,15149.9996185303,17209.9990844727,19110.0006103516,18979.9995422363,17489.9997711182,22280.0006866455
Kyrgyzstan,41.20438,74.766098,KGZ,CO2 emissions (kt),22760,20420,13800,10110,6550,4600,5770,5690,6040,4790,4670,3970,4969.99979019165,5590.00015258789,5559.99994277954,5300.00019073486,5320.00017166138,6469.99979019165,7510.00022888184,6760.00022888184,6349.99990463257,7619.99988555908,10060.0004196167,9380.00011444092,9710.00003814697,10270.0004577637,9699.99980926514,9430.00030517578,11250,10050.0001907349
Cambodia,12.565679,104.990963,KHM,CO2 emissions (kt),1260,1300,1350,1380,1480,1470,1530,1640,1880,1910,1960,2150,2210.00003814697,2380.00011444092,2380.00011444092,2660.00008583069,2960.00003814697,3660.00008583069,4059.99994277954,4750,5139.9998664856,5360.0001335144,5670.00007629395,5739.99977111816,6949.99980926514,8430.00030517578,11069.9996948242,12689.9995803833,14579.9999237061,16180.0003051758
Kiribati,-3.370417,-168.734039,KIR,CO2 emissions (kt),20,20,20,30,30,30,30,30,30,30,30,30,39.9999991059303,39.9999991059303,50.0000007450581,70.0000002980232,70.0000002980232,59.9999986588955,59.9999986588955,59.9999986588955,50.0000007450581,50.0000007450581,59.9999986588955,59.9999986588955,59.9999986588955,59.9999986588955,70.0000002980232,90.0000035762787,90.0000035762787,90.0000035762787
Saint Kitts and Nevis,17.357822,-62.782998,KNA,CO2 emissions (kt),110,110,150,140,150,150,150,160,180,180,190,210,230.000004172325,230.000004172325,239.999994635582,219.999998807907,230.000004172325,250,250,699.999988079071,239.999994635582,280.000001192093,340.000003576279,230.000004172325,230.000004172325,239.999994635582,239.999994635582,239.999994635582,250,250
South Korea,35.907757,127.766922,KOR,CO2 emissions (kt),247680,274790,297050,327600,354280,385410,409990,431640,366570,401880,456660,471530,463000,465700.012207031,485910.003662109,481000,487850.006103516,503690.002441406,514919.982910156,526640.014648438,575219.970703125,598479.98046875,600320.007324219,599599.975585938,588090.026855469,607830.017089844,615880.004882813,626630.004882813,630640.014648438,610789.978027344
